146,李正强,男,博士,研究员,大气气溶胶遥感和探测,中国科学院遥感与数字地球研究所
147,郑华,男,博士,研究员,生态系统服务,中国科学院生态环境研究中心
148,赵晓丽,女,博士,研究员,纳米污染物环境地球化学行为,中国环境科学研究院
149,李志伟,男,博士,教授,高精度InSAR三维形变测量,中南大学
150,陈晓清,男,博士,研究员,山地灾害形成机理与减灾,中国科学院、水利部成都山地灾害与环境研究所
151,谢桂青,男,博士,研究员,矿床学,中国地质科学院矿产资源研究所
152,黄汝锦,男,博士,研究员,有机气溶胶,中国科学院地球环境研究所
153,李峰,男,博士,教授,有机电致发光材料与器件,吉林大学
154,张广清,男,博士,教授,石油工程岩石力学,中国石油大学（北京）
155,龚政,男,博士,教授,海岸动力地貌学：多因子驱动下潮滩系统演变机制研究,河海大学
156,吴丁财,男,博士,教授,多孔高分子与炭材料,中山大学
157,赵宏伟,男,博士,教授,材料微观力学性能原位测试原理与技术,吉林大学
158,谢小荣,男,博士,教授,电力系统振荡的分析与控制,清华大学
159,李武华,男,博士,教授,新能源功率变换与运行调控,浙江大学
160,李建树,男,博士,教授,生物医用高分子材料,四川大学
161,罗坤,男,博士,教授,多相湍流燃烧,浙江大学
162,张弛,男,博士,教授,水资源系统分析及利用,大连理工大学
163,张艳锋,女,博士,研究员,二维碳基纳米材料及其异质结构,北京大学
164,王健君,男,博士,研究员,高分子材料表面与界面的研究,中国科学院化学研究所
165,孙卫玲,女,博士,副教授,水沙体系中复合污染迁移转化及生态效应,北京大学
166,王刚,男,博士,教授,非晶合金的断裂机理,上海大学
167,吴水林,男,博士,教授,医用金属材料表面改性与涂层,天津大学
168,汪怀远,男,博士,教授,极端环境下油气资源储存与输送,天津大学
169,余彦,女,博士,教授,钠离子电池,中国科学技术大学
170,王发洲,男,博士,教授,先进混凝土材料,武汉理工大学
171,张晨辉,男,博士,教授,液体超滑机理及应用研究,清华大学
172,鄢俊敏,女,博士,教授,氢燃料电池车用金属能源材料,吉林大学
173,崔宏志,男,博士,教授,储能混凝土,深圳大学
174,朱嘉,男,博士,教授,微结构光热转换材料与器件,南京大学
175,郭志光,男,博士,研究员,机械仿生表界面,中国科学院兰州化学物理研究所
176,傅继阳,男,博士,研究员,结构风工程,广州大学
177,杨上峰,男,博士,教授,富勒烯功能材料,中国科学技术大学
178,陈蓉,男,博士,教授,光流体能质传递及转化,重庆大学
179,黄永安,男,博士,教授,柔性电子制造技术与装备,华中科技大学
180,刘广义,男,博士,教授,浮选药剂,中南大学
181,陈益峰,男,博士,教授,岩土力学与岩土工程,武汉大学
182,丁彬,男,博士,研究员,高分子纳米纤维材料,东华大学
183,刘新华,男,博士,教授,金属控制凝固与控制成形短流程制备加工基础研究,北京科技大学
184,赵立东,男,博士,教授,热电材料,北京航空航天大学
185,张建,男,博士,教授,污水生物处理与资源化,山东大学
186,王志伟,男,博士,教授,污水处理与资源化,同济大学
187,温斌,男,博士,教授,材料力学行为的微观机制,燕山大学
188,吕友军,男,博士,教授,多相流热化学,西安交通大学
189,董必钦,男,博士,教授,滨海混凝土劣化与抑制,深圳大学
190,韩邦成,男,博士,教授,高速磁悬浮转子系统的优化、控制及应用,北京航空航天大学
191,訾斌,男,博士,教授,智能柔性驱动机器人理论、技术与装备,合肥工业大学
192,张瑜,男,博士,研究员,无机新能源材料,北京航空航天大学
193,刘攀,男,博士,教授,道路安全设计,东南大学
194,邵涛,男,博士,研究员,大气压脉冲气体放电等离子体,中国科学院电工研究所
195,李迎光,男,博士,教授,数字化制造与智能制造,南京航空航天大学
196,田华雨,男,博士,研究员,生物医用高分子材料,中国科学院长春应用化学研究所
197,戴庆,男,博士,研究员,碳基纳米光子学材料,国家纳米科学中心
198,刘锐平,男,博士,研究员,水中有毒无机物控制与资源化,中国科学院生态环境研究中心
199,沈俊,女,博士,研究员,磁制冷热力循环研究,中国科学院理化技术研究所
200,石峰,男,博士,教授,超分子材料,北京化工大学
201,张阿漫,男,博士,教授,水下爆炸与舰船毁伤,哈尔滨工程大学
202,蒋金洋,男,博士,研究员,海工混凝土超材料,东南大学
203,翟成,男,博士,教授,低透气性煤层致裂增透及瓦斯高效抽采,中国矿业大学
204,鲁军勇,男,博士,教授,舰载电磁发射技术,中国人民解放军海军工程大学
205,陈海生,男,博士,研究员,压缩空气储能关键科学问题研究,中国科学院工程热物理研究所
206,何旭辉,男,博士,教授,桥梁抗风与行车安全,中南大学
207,狄增峰,男,博士,研究员,集成电路用SOI材料,中国科学院上海微系统与信息技术研究所
208,黄辉,男,博士,教授,有机/高分子半导体材料,中国科学院大学
209,冯国瑞,男,博士,教授,遗留煤炭资源开采与灾害防控,太原理工大学
210,徐飞,男,博士,教授,光纤器件,南京大学
211,刘胜利,女,博士,教授,复杂网络环境下的公钥密码算法设计与证明,上海交通大学
212,杨军,男,博士,教授,光纤白光干涉测试,广东工业大学
213,陈云霁,男,博士,研究员,处理器体系结构,中国科学院计算技术研究所
214,李刚,男,博士,研究员,雷达运动目标成像与检测,清华大学
215,徐文渊,女,博士,教授,电子信息系统多要素安全分析与防护,浙江大学
216,李国良,男,博士,教授,数据库理论与系统,清华大学
217,刘云淮,男,博士,研究员,群智感知网络及应用研究,北京大学
218,潘纲,男,博士,教授,脑机混合智能,浙江大学
219,刘洋,男,博士,副教授,机器翻译,清华大学
220,迟楠,女,博士,教授,高频谱效率光调制与光传输,复旦大学
221,杨玉超,男,博士,研究员,面向类脑智能的忆阻神经形态器件,北京大学
222,张建华,女,博士,教授,无线信道的建模理论与实验研究,北京邮电大学
223,胡清华,男,博士,教授,不确定性人工智能,天津大学
224,陶晓明,女,博士,研究员,多媒体计算通信,清华大学
225,丁贵广,男,博士,副教授,多媒体检索与分析,清华大学
226,周鹏,男,博士,教授,新型存储与逻辑集成,复旦大学
227,彭宇新,男,博士,教授,跨媒体分析,北京大学
228,彭木根,男,博士,教授,无线通信协同组网理论与技术,北京邮电大学
229,龙世兵,男,博士,教授,宽禁带功率电子技术,中国科学技术大学
230,黄磊,男,博士,教授,鲁棒阵列信号处理,深圳大学
231,李明,男,博士,研究员,光子模拟信号处理,中国科学院半导体研究所
232,唐金辉,男,博士,教授,多媒体分析与检索,南京理工大学
233,谢晖,男,博士,教授,微纳机器人技术,哈尔滨工业大学
234,程鑫彬,男,博士,教授,强激光薄膜器件,同济大学
235,廖蕾,男,博士,教授,新型半导体异质集成及器件构筑,湖南大学
236,陆卫兵,男,博士,教授,电磁计算与应用,东南大学
237,王光臣,男,博士,教授,正倒向随机系统最优控制理论,山东大学
238,全伟,男,博士,教授,量子精密惯性测量与导航技术,北京航空航天大学
239,马帅,男,博士,教授,大数据近似计算,北京航空航天大学
240,贾晓军,男,博士,教授,量子信息网络与量子光学,山西大学
241,钟伟民,男,博士,教授,化工过程建模与运行优化,华东理工大学
242,张进成,男,博士,教授,宽禁带半导体电子器件,西安电子科技大学
243,陈海波,男,博士,教授,操作系统,上海交通大学
244,卢孝强,男,博士,研究员,光学遥感影像数据智能分析,中国科学院西安光学精密机械研究所
245,游经碧,男,博士,研究员,钙钛矿半导体光电器件,中国科学院半导体研究所
246,苏良碧,男,博士,研究员,激光晶体材料,中国科学院上海硅酸盐研究所
